FILE_NAME,FIELD_NAME,GOLD,EXTRACTED,RESULT,REASON
invoice0.html,product,Enormous Cotton Computer,Enormous Cotton Computer,TP,EXTRACT_MODEL
invoice0.html,product,Lightweight Linen Lamp,Lightweight Linen Lamp,TP,EXTRACT_MODEL
invoice0.html,product,Sleek Leather Chair,Sleek Leather Chair,TP,EXTRACT_MODEL
invoice0.html,product,Awesome Cotton Plate,Awesome Cotton Plate,TP,EXTRACT_MODEL
invoice0.html,product,Sleek Copper Computer,Sleek Copper Computer,TP,EXTRACT_MODEL
invoice0.html,quantity,4.00,4.00,TP,EXTRACT_RULES
invoice0.html,quantity,18.00,18.00,TP,EXTRACT_RULES
invoice0.html,quantity,52.00,52.00,TP,EXTRACT_RULES
invoice0.html,quantity,7.00,7.00,TP,EXTRACT_RULES
invoice0.html,quantity,8.00,8.00,TP,EXTRACT_RULES
invoice0.html,total_amount,,19296.35,FP,FAIL_MODEL
invoice0.html,price,457.55,457.55,TP,EXTRACT_MODEL
invoice0.html,price,373.49,373.49,TP,EXTRACT_MODEL
invoice0.html,price,27.91,27.91,TP,EXTRACT_MODEL
invoice0.html,price,400.41,400.41,TP,EXTRACT_MODEL
invoice0.html,price,323.89,323.89,TP,EXTRACT_MODEL
invoice0.html,supplier_name,"Kuvalis, Kuvalis and Kuvalis","Kuvalis, Kuvalis and Kuvalis",TP,EXTRACT_MODEL
invoice0.html,invoice_number,7650961828,7650961828,TP,EXTRACT_MODEL
invoice0.html,email,charlotte.gutmann@yahoo.com,charlotte.gutmann@yahoo.com,TP,EXTRACT_MODEL
invoice0.html,invoice_date,12/27/1970,"December 27, 1970","FP,FN",FAIL_MODEL
invoice106.html,product,Rustic Silk Computer,Rustic Silk Computer,TP,EXTRACT_MODEL
invoice106.html,product,Enormous Concrete Watch,Enormous Concrete Watch,TP,EXTRACT_MODEL
invoice106.html,product,Mediocre Rubber Hat,Mediocre Rubber Hat,TP,EXTRACT_MODEL
invoice106.html,product,Ergonomic Granite Gloves,Ergonomic Granite Gloves,TP,EXTRACT_MODEL
invoice106.html,product,Incredible Copper Pants,Incredible Copper Pants,TP,EXTRACT_MODEL
invoice106.html,product,Incredible Marble Bag,Incredible Marble Bag,TP,EXTRACT_MODEL
invoice106.html,product,Fantastic Leather Shirt,Fantastic Leather Shirt,TP,EXTRACT_MODEL
invoice106.html,product,Ergonomic Iron Keyboard,Ergonomic Iron Keyboard,TP,EXTRACT_MODEL
invoice106.html,quantity,24.00,24.00,TP,EXTRACT_RULES
invoice106.html,quantity,51.00,51.00,TP,EXTRACT_RULES
invoice106.html,quantity,53.00,53.00,TP,EXTRACT_RULES
invoice106.html,quantity,37.00,37.00,TP,EXTRACT_RULES
invoice106.html,quantity,5.00,5.00,TP,EXTRACT_RULES
invoice106.html,quantity,54.00,54.00,TP,EXTRACT_RULES
invoice106.html,quantity,44.00,44.00,TP,EXTRACT_RULES
invoice106.html,quantity,42.00,42.00,TP,EXTRACT_RULES
invoice106.html,total_amount,109415.50,109415.50,TP,EXTRACT_RULES
invoice106.html,price,112.29,112.29,TP,EXTRACT_MODEL
invoice106.html,price,153.65,153.65,TP,EXTRACT_MODEL
invoice106.html,price,25.08,25.08,TP,EXTRACT_MODEL
invoice106.html,price,480.17,480.17,TP,EXTRACT_MODEL
invoice106.html,price,435.70,435.70,TP,EXTRACT_MODEL
invoice106.html,price,269.70,269.70,TP,EXTRACT_MODEL
invoice106.html,price,381.59,381.59,TP,EXTRACT_MODEL
invoice106.html,price,348.03,348.03,TP,EXTRACT_MODEL
invoice106.html,supplier_name,Weber and Sons,Weber and Sons,TP,EXTRACT_MODEL
invoice106.html,invoice_number,3908661436,3908661436,TP,EXTRACT_MODEL
