FILE_NAME,FIELD_NAME,GOLD,EXTRACTED,RESULT,REASON
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_2.html,product,VOLUPTATE INVENTORE A,Barge / Vessel,"FP,FN",FAIL_MODEL
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_2.html,product,,Volume Delv’d,FP,FAIL_MODEL
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_2.html,product,,"US Dollars 
   
  6/11/2016 
   T XOM EXCH / XOM #536 
   Car",FP,FAIL_MODEL
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_2.html,quantity,391771.00,r,"FP,FN",FAIL_MODEL
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_2.html,total_amount,959783.60,,FN,FAIL_MODEL
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_2.html,supplier_name,FOWLER-COLLIER,,FN,FAIL_MODEL
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_2.html,invoice_number,36848788,36848788,TP,EXTRACT_MODEL
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_2.html,email,crewedit@iqulfsdoil.edu,Boston@amspecllc.com,"FP,FN",FAIL_MODEL
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_2.html,invoice_date,01/22/2016,"January 22, 2016","FP,FN",FAIL_MODEL
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_3.html,product,PERSPICIATIS OPTIO ULLAM QUIBUSDAM QUI,Barge / Vessel,"FP,FN",FAIL_MODEL
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_3.html,product,,Volume Delv’d,FP,FAIL_MODEL
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_3.html,quantity,70445.00,r,"FP,FN",FAIL_MODEL
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_3.html,total_amount,622043.46,,FN,FAIL_MODEL
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_3.html,supplier_name,"CARTER, THOMPSON AND CRUZ",,FN,FAIL_MODEL
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_3.html,invoice_number,54391757,54391757,TP,EXTRACT_MODEL
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_3.html,email,credit@iqulfoil.com,Boston@amspecllc.com,"FP,FN",FAIL_MODEL
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_3.html,invoice_date,07/26/2005,07/26/2005,TP,EXTRACT_MODEL
389057_1526301926_1.html,product,CDW CUSTOM HW SRVR REQ4443 Manufacturer Part Number REQ4443,No: MXQ5510015,"FP,FN",FAIL_MODEL
389057_1526301926_1.html,product,HP ETHERNET 10GB 2P 560SFP ADAPTER Manufacturer Part Number 665249-B21 Serial No: MYI5410HLX,HP ETHERNET 10GB 2P 560SFP ADAPTER Manufacturer Part,"FP,FN",FAIL_MODEL
389057_1526301926_1.html,product,HP DL380 GEN9 24SFF CUSTOM SRV Manufacturer Part Number EB172843 Serial No: MXQ5510015,No: MYI5410HLX,"FP,FN",FAIL_MODEL
