FILE_NAME,FIELD_NAME,GOLD,EXTRACTED,RESULT,REASON
doc00123720180117122026.html,product,Enormous Wool Shirt,Enormous Wool Shirt,TP,EXTRACT_MODEL
doc00123720180117122026.html,product,Intelligent Bronze Chair,Intelligent Bronze Chair,TP,EXTRACT_MODEL
doc00123720180117122026.html,product,Heavy Duty Wool Bottle,Heavy Duty Wool Bottle,TP,EXTRACT_MODEL
doc00123720180117122026.html,product,Intelligent Wooden Computer,Intelligent Wooden Computer,TP,EXTRACT_MODEL
doc00123720180117122026.html,quantity,15.00,15.00,TP,EXTRACT_RULES
doc00123720180117122026.html,quantity,59.00,59.00,TP,EXTRACT_RULES
doc00123720180117122026.html,quantity,39.00,39.00,TP,EXTRACT_RULES
doc00123720180117122026.html,quantity,39.00,39.00,TP,EXTRACT_RULES
doc00123720180117122026.html,total_amount,113093.82,113093.82,TP,EXTRACT_RULES
doc00123720180117122026.html,price,730.14,730.14,TP,EXTRACT_MODEL
doc00123720180117122026.html,price,761.52,761.52,TP,EXTRACT_MODEL
doc00123720180117122026.html,price,481.68,481.68,TP,EXTRACT_MODEL
doc00123720180117122026.html,price,349.09,349.09,TP,EXTRACT_MODEL
doc00123720180117122026.html,supplier_name,Blanda Inc,Blanda Inc,TP,EXTRACT_MODEL
doc00123720180117122026.html,invoice_number,7536317931,7536317931,TP,EXTRACT_MODEL
doc00124120180117122213.html,product,Synergistic Cotton Watch,Synergistic Cotton Watch,TP,EXTRACT_MODEL
doc00124120180117122213.html,product,Gorgeous Iron Keyboard,Gorgeous Iron Keyboard,TP,EXTRACT_MODEL
doc00124120180117122213.html,product,Enormous Marble Shirt,Enormous Marble Shirt,TP,EXTRACT_MODEL
doc00124120180117122213.html,product,Ergonomic Wool Plate,Ergonomic Wool Plate,TP,EXTRACT_MODEL
doc00124120180117122213.html,product,Heavy Duty Copper Shoes,Heavy Duty Copper Shoes,TP,EXTRACT_MODEL
doc00124120180117122213.html,product,Ergonomic Linen Wallet,Ergonomic Linen Wallet,TP,EXTRACT_MODEL
doc00124120180117122213.html,product,Durable Leather Plate,Durable Leather Plate,TP,EXTRACT_MODEL
doc00124120180117122213.html,product,Aerodynamic Paper Lamp,Aerodynamic Paper Lamp,TP,EXTRACT_MODEL
doc00124120180117122213.html,quantity,71.00,71.00,TP,EXTRACT_RULES
doc00124120180117122213.html,quantity,83.00,83.00,TP,EXTRACT_RULES
doc00124120180117122213.html,quantity,82.00,82.00,TP,EXTRACT_RULES
doc00124120180117122213.html,quantity,12.00,12.00,TP,EXTRACT_RULES
doc00124120180117122213.html,quantity,35.00,35.00,TP,EXTRACT_RULES
doc00124120180117122213.html,quantity,42.00,42.00,TP,EXTRACT_RULES
doc00124120180117122213.html,quantity,49.00,49.00,TP,EXTRACT_RULES
doc00124120180117122213.html,quantity,76.00,76.00,TP,EXTRACT_RULES
doc00124120180117122213.html,total_amount,227640.18,,FN,FAIL_MODEL
doc00124120180117122213.html,price,190.55,190.55,TP,EXTRACT_MODEL
doc00124120180117122213.html,price,257.78,257.78,TP,EXTRACT_MODEL
doc00124120180117122213.html,price,529.82,529.82,TP,EXTRACT_MODEL
doc00124120180117122213.html,price,621.36,621.36,TP,EXTRACT_MODEL
doc00124120180117122213.html,price,366.44,366.44,TP,EXTRACT_MODEL
doc00124120180117122213.html,price,930.36,930.36,TP,EXTRACT_MODEL
doc00124120180117122213.html,price,228.18,228.18,TP,EXTRACT_MODEL
doc00124120180117122213.html,price,433.46,433.46,TP,EXTRACT_MODEL
doc00124120180117122213.html,supplier_name,Osinski Inc,Osinski Inc,TP,EXTRACT_MODEL
doc00124120180117122213.html,invoice_number,2873872552,2873872552,TP,EXTRACT_MODEL
doc00124220180117122255.html,product,Gorgeous rubber Lame,Gorgeous rubber Lame,TP,EXTRACT_MODEL
doc00124220180117122255.html,product,Practical Paper Car,Practical Paper Car,TP,EXTRACT_MODEL
doc00124220180117122255.html,product,Gorgeous Linen Pants,Gorgeous _ ~en Pants,"FP,FN",FAIL_MODEL
doc00124220180117122255.html,product,Gorgeous Plastic F ate,Gorgeous Plastic F ate,TP,EXTRACT_MODEL
doc00124220180117122255.html,product,Gorgeous Granite Bag,Gorgeous Granite Bag,TP,EXTRACT_MODEL
doc00124220180117122255.html,product,Lightweight Iron Wallet,"Lightweight /c"" Wallet","FP,FN",FAIL_MODEL
doc00124220180117122255.html,product,Aerodynamic Alumina Dlate,Aerodynamic Alumina Dlate,TP,EXTRACT_MODEL
doc00124220180117122255.html,product,Awesome Wooden Lamp,Awesome Wooden _amp,"FP,FN",FAIL_MODEL
doc00124220180117122255.html,product,Gergeo-sAluminum lest,,FN,FAIL_MODEL
doc00124220180117122255.html,quantity,59.00,59.00,TP,EXTRACT_RULES
doc00124220180117122255.html,quantity,17.00,17.00,TP,EXTRACT_RULES
doc00124220180117122255.html,quantity,93.00,93.00,TP,EXTRACT_RULES
doc00124220180117122255.html,quantity,57.00,,FN,FAIL_MODEL
doc00124220180117122255.html,quantity,75.00,,FN,FAIL_MODEL
doc00124220180117122255.html,quantity,89.00,,FN,FAIL_MODEL
doc00124220180117122255.html,quantity,60.00,,FN,FAIL_MODEL
doc00124220180117122255.html,quantity,16.00,,FN,FAIL_MODEL
doc00124220180117122255.html,quantity,54.00,,FN,FAIL_MODEL
doc00124220180117122255.html,total_amount,5151322.00,,FN,FAIL_MODEL
doc00124220180117122255.html,price,364.69,364.69,TP,EXTRACT_MODEL
doc00124220180117122255.html,price,601.90,601.90,TP,EXTRACT_MODEL
doc00124220180117122255.html,price,415.38,415.38,TP,EXTRACT_MODEL
doc00124220180117122255.html,price,393.92,393.92,TP,EXTRACT_MODEL
doc00124220180117122255.html,price,657.23,657.23,TP,EXTRACT_MODEL
doc00124220180117122255.html,price,467.46,467.46,TP,EXTRACT_MODEL
doc00124220180117122255.html,price,491.42,491.20,"FP,FN",FAIL_RULES
doc00124220180117122255.html,price,216.69,,FN,FAIL_MODEL
doc00124220180117122255.html,price,189.54,,FN,FAIL_MODEL
doc00124220180117122255.html,supplier_name,Gibson Inc,Gibson Inc,TP,EXTRACT_MODEL
doc00124220180117122255.html,invoice_number,4716164810,4716164810,TP,EXTRACT_MODEL
doc00128620180117124239.html,product,Rustic Bronze Bench,Rustic Bronze Bench,TP,EXTRACT_MODEL
doc00128620180117124239.html,product,Awesome Cotton Shirt,Awesome Cotton Shirt,TP,EXTRACT_MODEL
doc00128620180117124239.html,product,Rustic Granite Wallet,Rustic Granite Wallet,TP,EXTRACT_MODEL
doc00128620180117124239.html,product,Ergonomic Concrete Bag,Ergonomic Concrete Bag,TP,EXTRACT_MODEL
doc00128620180117124239.html,quantity,80.00,80.00,TP,EXTRACT_RULES
doc00128620180117124239.html,quantity,38.00,38.00,TP,EXTRACT_RULES
doc00128620180117124239.html,quantity,31.00,31.00,TP,EXTRACT_RULES
doc00128620180117124239.html,quantity,39.00,39.00,TP,EXTRACT_RULES
doc00128620180117124239.html,total_amount,106124.71,106124.71,TP,EXTRACT_RULES
doc00128620180117124239.html,price,854.99,854.99,TP,EXTRACT_MODEL
doc00128620180117124239.html,price,423.83,423.83,TP,EXTRACT_MODEL
doc00128620180117124239.html,price,606.17,606.17,TP,EXTRACT_MODEL
doc00128620180117124239.html,price,277.33,277.33,TP,EXTRACT_MODEL
doc00128620180117124239.html,supplier_name,Stanton and Sons,,FN,FAIL_MODEL
doc00128620180117124239.html,invoice_number,8309703122,8309703122,TP,EXTRACT_MODEL
doc00130020180117124820.html,product,Gorgeous Silk Computer,"Gorgeous Silkf ,nputer","FP,FN",FAIL_MODEL
doc00130020180117124820.html,product,Durable Copper Wallet,Durable Copper Wallet,TP,EXTRACT_MODEL
doc00130020180117124820.html,product,Small Marble Plate,Small Marble ate,"FP,FN",FAIL_MODEL
doc00130020180117124820.html,product,Fantastic Rubber Plate,Fantastic Rubber Plate,TP,EXTRACT_MODEL
doc00130020180117124820.html,product,Sleek Concrete Chair,Sleek Concrete Chair,TP,EXTRACT_MODEL
doc00130020180117124820.html,quantity,74.00,74.00,TP,EXTRACT_RULES
doc00130020180117124820.html,quantity,86.00,86.00,TP,EXTRACT_RULES
doc00130020180117124820.html,quantity,77.00,[77.00,"FP,FN",FAIL_RULES
doc00130020180117124820.html,quantity,72.00,72.00,TP,EXTRACT_RULES
doc00130020180117124820.html,quantity,99.00,99.00,TP,EXTRACT_RULES
doc00130020180117124820.html,total_amount,264827.42,264827.42,TP,EXTRACT_RULES
doc00130020180117124820.html,price,814.26,814.26,TP,EXTRACT_MODEL
doc00130020180117124820.html,price,210.27,210.27,TP,EXTRACT_MODEL
doc00130020180117124820.html,price,816.10,816.10,TP,EXTRACT_MODEL
doc00130020180117124820.html,price,152.20,152.20,TP,EXTRACT_MODEL
doc00130020180117124820.html,price,692.83,692.83,TP,EXTRACT_MODEL
doc00130020180117124820.html,supplier_name,"Stanton, Stanton and Stanton","Gf    
  Stanton, Stanton and Stanton","FP,FN",FAIL_MODEL
doc00130020180117124820.html,invoice_number,0637809108,0637809108,TP,EXTRACT_MODEL
doc00131320180117125408.html,product,Heavy Duty Leather Watch,Hea.n Dut. _eather Watch,"FP,FN",FAIL_MODEL
doc00131320180117125408.html,product,Intelligent Cotton Plate,Xntellige''t Cotton Plate,"FP,FN",FAIL_MODEL
doc00131320180117125408.html,product,Awesome Steel Shoes,Awesome Steel Shoes,TP,EXTRACT_MODEL
doc00131320180117125408.html,product,Awesome iron Coat,Awesome iron Coat,TP,EXTRACT_MODEL
doc00131320180117125408.html,product,Intelligent Leather Hat,i_eather Hat,"FP,FN",FAIL_MODEL
doc00131320180117125408.html,product,Rustic Rubber Computer,„Rustic Pofcoer Computer,"FP,FN",FAIL_MODEL
doc00131320180117125408.html,product,,Inte gent,FP,FAIL_MODEL
doc00131320180117125408.html,quantity,18.00,18.00,TP,EXTRACT_RULES
doc00131320180117125408.html,quantity,74.00,74.00,TP,EXTRACT_RULES
doc00131320180117125408.html,quantity,40.00,40.00,TP,EXTRACT_RULES
doc00131320180117125408.html,quantity,60.00,60.00,TP,EXTRACT_RULES
doc00131320180117125408.html,quantity,182.00,182.00,TP,EXTRACT_RULES
doc00131320180117125408.html,quantity,6.00,6.00,TP,EXTRACT_RULES
doc00131320180117125408.html,total_amount,148284.38,148284.38,TP,EXTRACT_RULES
doc00131320180117125408.html,price,644.11,644.11,TP,EXTRACT_MODEL
doc00131320180117125408.html,price,440.65,440.65,TP,EXTRACT_MODEL
doc00131320180117125408.html,price,264.23,264.23,TP,EXTRACT_MODEL
doc00131320180117125408.html,price,204.30,204.30,TP,EXTRACT_MODEL
doc00131320180117125408.html,price,316.53,316.53,TP,EXTRACT_MODEL
doc00131320180117125408.html,price,882.09,882.09,TP,EXTRACT_MODEL
doc00131320180117125408.html,supplier_name,Heidenreich-Heidenreich,Heidenreich-Heidenreich,TP,EXTRACT_MODEL
doc00131320180117125408.html,invoice_number,2091056108,2091056108,TP,EXTRACT_MODEL
doc00132820180117125933.html,product,Rustic Copper Car,Rustic Copper Car,TP,EXTRACT_MODEL
doc00132820180117125933.html,product,Synergistic Granite Coat,Synergistic Granite Coat,TP,EXTRACT_MODEL
doc00132820180117125933.html,product,Ergonomic Cotton Clock,Ergonomic Cotton Clock,TP,EXTRACT_MODEL
doc00132820180117125933.html,product,Intelligent Steel Bench,Intelligent Steel Bench,TP,EXTRACT_MODEL
doc00132820180117125933.html,product,Durable Silk Table,Durable Silk Table,TP,EXTRACT_MODEL
doc00132820180117125933.html,product,Fantastic Steel Car,Fantastic Steel Car,TP,EXTRACT_MODEL
doc00132820180117125933.html,product,Aerodynamic Aluminum Car,Aerodynamic Aluminum Car,TP,EXTRACT_MODEL
doc00132820180117125933.html,quantity,51.00,51.00,TP,EXTRACT_RULES
doc00132820180117125933.html,quantity,21.00,21.00,TP,EXTRACT_RULES
doc00132820180117125933.html,quantity,47.00,47.00,TP,EXTRACT_RULES
doc00132820180117125933.html,quantity,17.00,17/^.00,"FP,FN",FAIL_RULES
doc00132820180117125933.html,quantity,67.00,67.00,TP,EXTRACT_RULES
doc00132820180117125933.html,quantity,19.00,19.00,TP,EXTRACT_RULES
doc00132820180117125933.html,total_amount,177689.41,,FN,FAIL_MODEL
doc00132820180117125933.html,price,757.23,757.23,TP,EXTRACT_MODEL
doc00132820180117125933.html,price,967.47,967.47,TP,EXTRACT_MODEL
doc00132820180117125933.html,price,0.56,.56,"FP,FN",FAIL_RULES
doc00132820180117125933.html,price,577.04,577.04,TP,EXTRACT_MODEL
doc00132820180117125933.html,price,135.40,135.40,TP,EXTRACT_MODEL
doc00132820180117125933.html,price,211.65,211.65,TP,EXTRACT_MODEL
doc00132820180117125933.html,price,457.08,457.08,TP,EXTRACT_MODEL
doc00132820180117125933.html,supplier_name,Jones-Jones,,FN,FAIL_MODEL
doc00145820180117152240.html,product,Pilot Development,Pilot Development,TP,EXTRACT_MODEL
doc00145820180117152240.html,product,Social MediaMarketing,Social Media   Marketing,"FP,FN",FAIL_MODEL
doc00145820180117152240.html,product,Development,Development,TP,EXTRACT_MODEL
doc00145820180117152240.html,product,Customer Support,Customer Support,TP,EXTRACT_MODEL
doc00145820180117152240.html,quantity,93.00,93.00,TP,EXTRACT_RULES
doc00145820180117152240.html,quantity,93.00,93.00,TP,EXTRACT_RULES
doc00145820180117152240.html,quantity,14.00,14.00,TP,EXTRACT_RULES
doc00145820180117152240.html,quantity,17.00,17.00,TP,EXTRACT_RULES
doc00145820180117152240.html,total_amount,23860.80,,FN,FAIL_MODEL
doc00145820180117152240.html,price,1.00,1.00,TP,EXTRACT_MODEL
doc00145820180117152240.html,price,20.00,20.00,TP,EXTRACT_MODEL
doc00145820180117152240.html,price,60.00,60.00,TP,EXTRACT_MODEL
doc00145820180117152240.html,price,150.00,150.00,TP,EXTRACT_MODEL
doc00145820180117152240.html,supplier_name,Workfusion,Workfus,"FP,FN",FAIL_MODEL
doc00145820180117152240.html,invoice_number,1154404848,1154404848,TP,EXTRACT_MODEL
doc00145820180117152240.html,email,jack.harrow@example.com,iack.harrow(S)examDle.com,"FP,FN",FAIL_MODEL
doc00145820180117152240.html,invoice_date,01/16/2018,01/16/2018,TP,EXTRACT_RULES
doc00146420180117152505.html,product,Social MediaMarketing,Social Media  Marketing,"FP,FN",FAIL_MODEL
doc00146420180117152505.html,product,Pilot Development,Pilot Development,TP,EXTRACT_MODEL
doc00146420180117152505.html,product,Proof of Concept,Proof of Concept,TP,EXTRACT_MODEL
doc00146420180117152505.html,product,Customer Support,Customer Support,TP,EXTRACT_MODEL
doc00146420180117152505.html,product,Video Marketing,Video Marketing,TP,EXTRACT_MODEL
doc00146420180117152505.html,product,Development,Development,TP,EXTRACT_MODEL
doc00146420180117152505.html,quantity,90.00,90.00,TP,EXTRACT_RULES
doc00146420180117152505.html,quantity,59.00,59.00,TP,EXTRACT_RULES
doc00146420180117152505.html,quantity,32.00,32.00,TP,EXTRACT_RULES
doc00146420180117152505.html,quantity,83.00,83.00,TP,EXTRACT_RULES
doc00146420180117152505.html,quantity,71.00,71.00,TP,EXTRACT_RULES
doc00146420180117152505.html,quantity,50.00,50.00,TP,EXTRACT_RULES
doc00146420180117152505.html,total_amount,21498.00,21498.00,TP,EXTRACT_RULES
doc00146420180117152505.html,price,5.00,5.00,TP,EXTRACT_MODEL
doc00146420180117152505.html,price,60.00,60.00,TP,EXTRACT_MODEL
doc00146420180117152505.html,price,60.00,60.00,TP,EXTRACT_MODEL
doc00146420180117152505.html,price,1.00,1.00,TP,EXTRACT_MODEL
doc00146420180117152505.html,price,150.00,150.00,TP,EXTRACT_MODEL
doc00146420180117152505.html,price,20.00,20.00,TP,EXTRACT_MODEL
doc00146420180117152505.html,supplier_name,Workft,,FN,FAIL_MODEL
doc00146420180117152505.html,email,iohn.doe@examDle.com,iohn.doe(S)examDle.com,"FP,FN",FAIL_MODEL
doc00146420180117152505.html,invoice_date,01/16/2018,01/16/2018,TP,EXTRACT_RULES
doc00149120180117153429.html,product,Development,Development,TP,EXTRACT_MODEL
doc00149120180117153429.html,product,Customer Support,Customer Support,TP,EXTRACT_MODEL
doc00149120180117153429.html,product,Social MediaMarketing,Social Media   Marketing,"FP,FN",FAIL_MODEL
doc00149120180117153429.html,product,Pilot D^y ^'vrrjopt,Pilot D^y,"FP,FN",FAIL_MODEL
doc00149120180117153429.html,product,,Cognitive Bot Development,FP,FAIL_MODEL
doc00149120180117153429.html,quantity,84.00,84.00,TP,EXTRACT_RULES
doc00149120180117153429.html,quantity,39.00,39.00,TP,EXTRACT_RULES
doc00149120180117153429.html,quantity,57.00,57.00,TP,EXTRACT_RULES
doc00149120180117153429.html,quantity,45.00,45.00,TP,EXTRACT_RULES
doc00149120180117153429.html,total_amount,14248.80,14248.80,TP,EXTRACT_RULES
doc00149120180117153429.html,price,1.00,1.00,TP,EXTRACT_MODEL
doc00149120180117153429.html,price,60.00,60.00,TP,EXTRACT_MODEL
doc00149120180117153429.html,price,20.00,20.00,TP,EXTRACT_MODEL
doc00149120180117153429.html,price,150.00,150.00,TP,EXTRACT_MODEL
doc00149120180117153429.html,supplier_name,Workfusion,,FN,FAIL_MODEL
doc00149120180117153429.html,invoice_number,174560688,174560688,TP,EXTRACT_MODEL
doc00149120180117153429.html,email,iack.harrowi@examole nr-m,iack.harrowiSexamole,"FP,FN",FAIL_MODEL
doc00149120180117153429.html,invoice_date,01/16/2018,01/16/2018,TP,EXTRACT_RULES
invoice0.html,product,Enormous Cotton Computer,Enormous Cotton Computer,TP,EXTRACT_MODEL
invoice0.html,product,Lightweight Linen Lamp,Lightweight Linen Lamp,TP,EXTRACT_MODEL
invoice0.html,product,Sleek Leather Chair,Sleek Leather Chair,TP,EXTRACT_MODEL
invoice0.html,product,Awesome Cotton Plate,Awesome Cotton Plate,TP,EXTRACT_MODEL
invoice0.html,product,Sleek Copper Computer,Sleek Copper Computer,TP,EXTRACT_MODEL
invoice0.html,quantity,4.00,4.00,TP,EXTRACT_RULES
invoice0.html,quantity,18.00,18.00,TP,EXTRACT_RULES
invoice0.html,quantity,52.00,52.00,TP,EXTRACT_RULES
invoice0.html,quantity,7.00,7.00,TP,EXTRACT_RULES
invoice0.html,quantity,8.00,8.00,TP,EXTRACT_RULES
invoice0.html,price,457.55,457.55,TP,EXTRACT_MODEL
invoice0.html,price,373.49,373.49,TP,EXTRACT_MODEL
invoice0.html,price,27.91,27.91,TP,EXTRACT_MODEL
invoice0.html,price,400.41,400.41,TP,EXTRACT_MODEL
invoice0.html,price,323.89,323.89,TP,EXTRACT_MODEL
invoice0.html,supplier_name,"Kuvalis, Kuvalis and Kuvalis","Kuvalis, Kuvalis and Kuvalis",TP,EXTRACT_MODEL
invoice0.html,invoice_number,7650961828,7650961828,TP,EXTRACT_MODEL
invoice0.html,email,charlotte.gutmann@yahoo.com,charlotte.gutmann@yahoo.com,TP,EXTRACT_MODEL
invoice0.html,invoice_date,12/27/1970,12/27/1970,TP,EXTRACT_RULES
invoice106.html,product,Rustic Silk Computer,Rustic Silk Computer,TP,EXTRACT_MODEL
invoice106.html,product,Enormous Concrete Watch,Enormous Concrete Watch,TP,EXTRACT_MODEL
invoice106.html,product,Mediocre Rubber Hat,Mediocre Rubber Hat,TP,EXTRACT_MODEL
invoice106.html,product,Ergonomic Granite Gloves,Ergonomic Granite Gloves,TP,EXTRACT_MODEL
invoice106.html,product,Incredible Copper Pants,Incredible Copper Pants,TP,EXTRACT_MODEL
invoice106.html,product,Incredible Marble Bag,Incredible Marble Bag,TP,EXTRACT_MODEL
invoice106.html,product,Fantastic Leather Shirt,Fantastic Leather Shirt,TP,EXTRACT_MODEL
invoice106.html,product,Ergonomic Iron Keyboard,Ergonomic Iron Keyboard,TP,EXTRACT_MODEL
invoice106.html,quantity,24.00,24.00,TP,EXTRACT_RULES
invoice106.html,quantity,51.00,51.00,TP,EXTRACT_RULES
invoice106.html,quantity,53.00,53.00,TP,EXTRACT_RULES
invoice106.html,quantity,37.00,37.00,TP,EXTRACT_RULES
invoice106.html,quantity,5.00,5.00,TP,EXTRACT_RULES
invoice106.html,quantity,54.00,54.00,TP,EXTRACT_RULES
invoice106.html,quantity,44.00,44.00,TP,EXTRACT_RULES
invoice106.html,quantity,42.00,42.00,TP,EXTRACT_RULES
invoice106.html,total_amount,109415.50,109415.50,TP,EXTRACT_RULES
invoice106.html,price,112.29,112.29,TP,EXTRACT_MODEL
invoice106.html,price,153.65,153.65,TP,EXTRACT_MODEL
invoice106.html,price,25.08,25.08,TP,EXTRACT_MODEL
invoice106.html,price,480.17,480.17,TP,EXTRACT_MODEL
invoice106.html,price,435.70,435.70,TP,EXTRACT_MODEL
invoice106.html,price,269.70,269.70,TP,EXTRACT_MODEL
invoice106.html,price,381.59,381.59,TP,EXTRACT_MODEL
invoice106.html,price,348.03,348.03,TP,EXTRACT_MODEL
invoice106.html,supplier_name,Weber and Sons,Weber and Sons,TP,EXTRACT_MODEL
invoice106.html,invoice_number,3908661436,3908661436,TP,EXTRACT_MODEL
invoice106.html,email,kylie.reynolds@gmail.com,kylie.reynolds@gmail.com,TP,EXTRACT_MODEL
invoice106.html,invoice_date,04/13/2005,04/13/2005,TP,EXTRACT_RULES
invoice108.html,product,Awesome Marble Hat,Awesome Marble Hat,TP,EXTRACT_MODEL
invoice108.html,product,Practical Leather Bench,Practical Leather Bench,TP,EXTRACT_MODEL
invoice108.html,product,Gorgeous Copper Bottle,Gorgeous Copper Bottle,TP,EXTRACT_MODEL
invoice108.html,product,Synergistic Silk Bottle,Synergistic Silk Bottle,TP,EXTRACT_MODEL
invoice108.html,product,Lightweight Granite Keyboard,Lightweight Granite Keyboard,TP,EXTRACT_MODEL
invoice108.html,product,Gorgeous Plastic Shoes,Gorgeous Plastic Shoes,TP,EXTRACT_MODEL
invoice108.html,quantity,18.00,18.00,TP,EXTRACT_RULES
invoice108.html,quantity,47.00,47.00,TP,EXTRACT_RULES
invoice108.html,quantity,2.00,2.00,TP,EXTRACT_RULES
invoice108.html,quantity,3.00,3.00,TP,EXTRACT_RULES
invoice108.html,quantity,5.00,5.00,TP,EXTRACT_RULES
invoice108.html,quantity,7.00,7.00,TP,EXTRACT_RULES
invoice108.html,total_amount,21833.92,21833.92,TP,EXTRACT_RULES
invoice108.html,price,60.13,60.13,TP,EXTRACT_MODEL
invoice108.html,price,179.47,179.47,TP,EXTRACT_MODEL
invoice108.html,price,412.94,412.94,TP,EXTRACT_MODEL
invoice108.html,price,365.14,365.14,TP,EXTRACT_MODEL
invoice108.html,price,280.02,280.02,TP,EXTRACT_MODEL
invoice108.html,price,174.39,174.39,TP,EXTRACT_MODEL
invoice108.html,supplier_name,Murray Inc,Murray Inc,TP,EXTRACT_MODEL
invoice108.html,invoice_number,6065016110,6065016110,TP,EXTRACT_MODEL
invoice108.html,email,donald.anderson@gmail.com,donald.anderson@gmail.com,TP,EXTRACT_MODEL
invoice108.html,invoice_date,02/17/2001,02/17/2001,TP,EXTRACT_RULES
invoice113.html,product,Awesome Paper Shirt,Awesome Paper Shirt,TP,EXTRACT_MODEL
invoice113.html,product,Heavy Duty Copper Table,Heavy Duty Copper Table,TP,EXTRACT_MODEL
invoice113.html,product,Small Rubber Knife,Small Rubber Knife,TP,EXTRACT_MODEL
invoice113.html,product,Mediocre Concrete Coat,Mediocre Concrete Coat,TP,EXTRACT_MODEL
invoice113.html,product,Enormous Rubber Car,Enormous Rubber Car,TP,EXTRACT_MODEL
invoice113.html,quantity,41.00,41.00,TP,EXTRACT_RULES
invoice113.html,quantity,33.00,33.00,TP,EXTRACT_RULES
invoice113.html,quantity,27.00,27.00,TP,EXTRACT_RULES
invoice113.html,quantity,11.00,11.00,TP,EXTRACT_RULES
invoice113.html,quantity,42.00,42.00,TP,EXTRACT_RULES
invoice113.html,total_amount,28274.11,28274.11,TP,EXTRACT_RULES
invoice113.html,price,214.17,214.17,TP,EXTRACT_MODEL
invoice113.html,price,150.81,150.81,TP,EXTRACT_MODEL
invoice113.html,price,186.74,186.74,TP,EXTRACT_MODEL
invoice113.html,price,89.47,89.47,TP,EXTRACT_MODEL
invoice113.html,price,164.36,164.36,TP,EXTRACT_MODEL
invoice113.html,supplier_name,Rempel Group,Rempel Group,TP,EXTRACT_MODEL
invoice113.html,invoice_number,0156315916,0156315916,TP,EXTRACT_MODEL
invoice113.html,email,cory.beahan@yahoo.com,cory.beahan@yahoo.com,TP,EXTRACT_MODEL
invoice113.html,invoice_date,01/06/1986,01/06/1986,TP,EXTRACT_RULES
invoice116.html,product,Intelligent Marble Car,Intelligent Marble Car,TP,EXTRACT_MODEL
invoice116.html,product,Aerodynamic Leather Computer,Aerodynamic Leather Computer,TP,EXTRACT_MODEL
invoice116.html,quantity,25.00,25.00,TP,EXTRACT_RULES
invoice116.html,quantity,23.00,23.00,TP,EXTRACT_RULES
invoice116.html,total_amount,13023.97,13023.97,TP,EXTRACT_RULES
invoice116.html,price,185.99,185.99,TP,EXTRACT_MODEL
invoice116.html,price,269.72,269.72,TP,EXTRACT_MODEL
invoice116.html,supplier_name,Rau Group,Rau Group,TP,EXTRACT_MODEL
invoice116.html,invoice_number,0530052618,0530052618,TP,EXTRACT_MODEL
